Brand,Model,Color,Year,Fuel,Kilometers,Trasmission,Price,Gov,Cleaned_Price
BMW,525,Black,2001.0,gas,"255,000 Km",automatic,"380,000 EGP",Heliopolis,380000.0
Opel,Astra,Bronze,2015.0,gas,"130,000 Km",automatic,"480,000 EGP",Cairo,480000.0
Chevrolet,Optra,Dark blue,2022.0,gas,"50,000 Km",automatic,"460,000 EGP",Cairo,460000.0
Mitsubishi,Lancer Puma,Black,2009.0,gas,"165,000 Km",automatic,"295,000 EGP",Alexandria,295000.0
Mercedes,E 320,Cyan,2004.0,gas,"300,000 Km",automatic,"580,000 EGP",Nasr city,580000.0
Opel,Astra,Silver,2008.0,gas,"190,000 Km",automatic,"290,000 EGP",El Haram,290000.0
Mitsubishi,Lancer EX Shark,Silver,2018.0,gas,"129,000 Km",automatic,"470,000 EGP",Cairo,470000.0
Honda,City,Silver,2009.0,gas,"150,000 Km",automatic,"295,000 EGP",6 October,295000.0
MG,6,Silver,2019.0,gas,"56,000 Km",automatic,"630,000 EGP",6 October,630000.0
Nissan,Sunny,Dark red,2021.0,gas,"51,000 Km",automatic,"399,000 EGP",Agamy,399000.0
MG,5,Red,2021.0,gas,"57,000 Km",automatic,"550,000 EGP",El Mahalla,550000.0
Mazda,121,Green,1997.0,gas,"120,000 Km",manual,"60,000 EGP",Hurghada,60000.0
Skoda,Felicia,White,1995.0,gas,"240,000 Km",manual,"45,000 EGP",Alexandria,45000.0
MG,6,Gray,2022.0,gas,"3,000 Km",automatic,"855,000 EGP",El Mahalla,855000.0
Chery,Tiggo 8,White,2021.0,gas,"7,600 Km",automatic,"900,000 EGP",Cairo,900000.0
Hyundai,Elantra,Black,2015.0,gas,"140,000 Km",automatic,"450,000 EGP",Alexandria,450000.0
Mazda,323,Dark blue,1997.0,gas,0 Km,manual,"75,000 EGP",6 October,75000.0
Chery,Tiggo 3,Silver,2020.0,gas,"31,000 Km",automatic,"490,000 EGP",Beheira,490000.0
Lada,Oka,Champagne,2002.0,gas,"90,000 Km",manual,"40,000 EGP",Cairo,40000.0
Mercedes,B 150,Silver,2007.0,gas,"175,000 Km",automatic,"380,000 EGP",Alexandria,380000.0
Kia,Carens,Silver,2011.0,gas,"400,000 Km",manual,"370,000 EGP",Cairo,370000.0
Daewoo,Nubira 2,Black,2001.0,gas,"260,000 Km",automatic,"136,000 EGP",El Haram,136000.0
Chevrolet,Cruze,Black,2010.0,gas,"240,000 Km",automatic,"330,000 EGP",Hurghada,330000.0
Fiat,Punto,Black,2009.0,gas,"173,000 Km",manual,"130,000 EGP",Damietta,130000.0
Daihatsu,Kancil,White,2001.0,gas,"150,000 Km",automatic,"105,000 EGP",Heliopolis,105000.0
Seat,133,White,1994.0,gas,0 Km,manual,"45,000 EGP",Ain Shams,45000.0
Hyundai,Creta,White,2016.0,gas,"80,000 Km",automatic,"670,000 EGP",Damietta,670000.0
MG,5,Blue,2021.0,gas,"37,000 Km",automatic,"460,000 EGP",Obour City,460000.0
Speranza,A516,Black,2007.0,gas,"150,000 Km",manual,"125,000 EGP",Maadi,125000.0
Chevrolet,Spark,Red,2012.0,gas,"200,000 Km",manual,"138,000 EGP",Ashmoun,138000.0
MG,6,Black,2022.0,gas,"19,000 Km",automatic,"620,000 EGP",Cairo,620000.0
Hyundai,Elantra HD,Mocha,2021.0,gas,"47,000 Km",automatic,"395,000 EGP",Saft El Laban,395000.0
Kia,Sportage,Petroleum,2023.0,gas,0 Km,automatic,"1,750,000 EGP",Nasr city,1750000.0
Chevrolet,T-Series,Red,2012.0,diesel,0 Km,manual,"310,000 EGP",Borg el arab,310000.0
Hyundai,Elantra MD,Silver,2016.0,gas,"135,000 Km",automatic,"540,000 EGP",Giza,540000.0
Nissan,Qashqai,Light grey,2019.0,gas,"130,000 Km",automatic,"700,000 EGP",Nasr city,700000.0
Volkswagen,Beetle,Blue,1964.0,gas,"100,000 Km",manual,"18,000 EGP",Cairo,18000.0
Speranza,Envy,Red,2019.0,gas,"95,000 Km",automatic,"220,000 EGP",Sheikh Zayed City,220000.0
Nissan,Qashqai,Red,2014.0,gas,"106,000 Km",automatic,"450,000 EGP",6 October,450000.0
Nissan,Sunny,Black,2019.0,gas,"150,000 Km",automatic,"335,000 EGP",Giza,335000.0
Opel,Astra,Brown,2013.0,gas,"150,000 Km",automatic,"420,000 EGP",El Bagour,420000.0
Kia,Picanto,Cyan,2008.0,gas,"85,000 Km",manual,"220,000 EGP",Mokattam,220000.0
Nissan,Sunny,Brown,2020.0,gas,"128,000 Km",automatic,"360,000 EGP",Beni Suef,360000.0
Jac,J7,Black,2022.0,gas,"11,000 Km",automatic,"625,000 EGP",Maadi,625000.0
Brilliance,Jinbei,Dark red,2014.0,gas,"95,000 Km",manual,"160,000 EGP",Cairo,160000.0
Fiat,Tipo,Dark blue,2022.0,gas,"20,000 Km",automatic,"650,000 EGP",Madinaty,650000.0
Hyundai,IX 35,Silver,2015.0,gas,"100,000 Km",automatic,"670,000 EGP",Sheikh Zayed City,670000.0
Opel,Mokka,Black,2016.0,gas,"35,000 Km",automatic,"550,000 EGP",Cairo,550000.0
Seat,Ibiza,Red,2020.0,gas,"125,000 Km",automatic,"700,000 EGP",6 October,700000.0
BMW,318,Silver,2016.0,gas,"148,000 Km",automatic,"920,000 EGP",Tagamo3 - New Cairo,920000.0
Nissan,Sunny,Mocha,2023.0,gas,500 Km,automatic,"525,000 EGP",Tanta,525000.0
Mitsubishi,Eclipse Cross,Mocha,2019.0,gas,"41,000 Km",automatic,"800,000 EGP",Sheikh Zayed City,800000.0
Fiat,128,White,1999.0,gas,"82,000 Km",manual,"50,000 EGP",Maadi,50000.0
Suzuki,Swift Dzire || Dzire,Silver,2022.0,gas,"9,000 Km",automatic,"475,000 EGP",Giza,475000.0
Ssang Yong,Tivoli,Red,2017.0,gas,"104,000 Km",automatic,"540,000 EGP",Maadi,540000.0
MG,ZS,Black,2022.0,gas,"40,000 Km",automatic,"680,000 EGP",Mansoura,680000.0
Toyota,Corolla,Black,2011.0,gas,"189,000 Km",automatic,"420,000 EGP",Monufia,420000.0
Mitsubishi,Lancer EX Shark,Gray,2015.0,gas,"102,000 Km",automatic,"509,000 EGP",Heliopolis,509000.0
Toyota,Corolla,White,2013.0,gas,"170,000 Km",automatic,"510,000 EGP",El Senbellawein,510000.0
MG,5,Silver,2021.0,gas,"45,000 Km",automatic,"480,000 EGP",Mohandessin,480000.0
Mitsubishi,Lancer EX Shark,White,2015.0,gas,"241,000 Km",automatic,"450,000 EGP",Mansoura,450000.0
Renault,Logan,Black,2019.0,gas,"94,500 Km",automatic,"355,000 EGP",Cairo,355000.0
Fiat,Punto,Dark green,1995.0,gas,"200,000 Km",manual,"65,000 EGP",Abu Hummus,65000.0
Nissan,Sunny,Gray,2020.0,gas,"40,000 Km",automatic,0 EGP,Helwan,0.0
Kia,Sportage,White,2019.0,gas,"5,800 Km",automatic,"1,100,000 EGP",Ismailia,1100000.0
Byd,F3,Red,2019.0,gas,"200,000 Km",manual,"190,000 EGP",Giza,190000.0
Kia,Soul,Beige,2010.0,natural gas,"240,000 Km",automatic,"420,000 EGP",Alexandria,420000.0
Jetour,X70,Mocha,2021.0,gas,"55,000 Km",automatic,"700,000 EGP",Zagazig,700000.0
Nissan,Juke,Red,2014.0,gas,"125,000 Km",automatic,"375,000 EGP",Warraq,375000.0
Mercedes,230,Gold,1977.0,gas,"100,000 Km",manual,"85,000 EGP",6 October,85000.0
Chevrolet,Aveo,Black,2006.0,gas,"200,000 Km",manual,"175,000 EGP",Alexandria,175000.0
Chery,Tiggo 7 pro,Gray,2022.0,gas,"5,000 Km",automatic,"900,000 EGP",Alexandria,900000.0
Suzuki,Alto,Red,2008.0,gas,"97,000 Km",manual,"85,000 EGP",Tanta,85000.0
Nissan,Juke,Gray,2013.0,gas,"155,000 Km",automatic,"380,000 EGP",Sohag,380000.0
Chevrolet,Lanos,Gray,2014.0,gas,"138,000 Km",manual,"198,000 EGP",Dyarb Negm,198000.0
Kia,Carens,Light grey,2012.0,gas,"150,000 Km",automatic,"380,000 EGP",Maadi,380000.0
Suzuki,Vitara,Blue,2006.0,gas,"95,000 Km",manual,"260,000 EGP",Cairo,260000.0
Peugeot,301,Black,2016.0,gas,"300,000 Km",automatic,"300,000 EGP",Tagamo3 - New Cairo,300000.0
Hyundai,Verna,Black,2010.0,natural gas,"30,000 Km",manual,"170,000 EGP",El Haram,170000.0
Lada,Granta,Red,2020.0,gas,"191,000 Km",automatic,"280,000 EGP",Luxor,280000.0
Speranza,A516,Black,2011.0,gas,"200,000 Km",manual,"140,000 EGP",6 October,140000.0
MG,5,Black,2021.0,gas,"49,000 Km",automatic,"550,000 EGP",Cairo,550000.0
Suzuki,Swift,Dark red,1993.0,gas,"50,000 Km",manual,"53,000 EGP",Agamy,53000.0
Fiat,Petra,Green,2004.0,gas,"100,000 Km",manual,"70,000 EGP",Beni Suef,70000.0
Fiat,Punto,Gray,2003.0,gas,"114,000 Km",manual,"125,000 EGP",El Haram,125000.0
Chevrolet,Cruze,Black,2016.0,gas,"139,000 Km",automatic,"400,000 EGP",Alexandria,400000.0
Hyundai,Accent,Dark blue,2005.0,gas,"215,000 Km",manual,"120,000 EGP",Cairo,120000.0
Speranza,A113,Silver,2011.0,gas,"90,000 Km",manual,"125,000 EGP",Suez,125000.0
MG,5,Black,2022.0,gas,"70,000 Km",automatic,"350,000 EGP",Mohandessin,350000.0
Seat,Ateca,White,2020.0,gas,"79,000 Km",automatic,"1,150,000 EGP",Madinaty,1150000.0
Seat,Ateca,White,2020.0,gas,"79,000 Km",automatic,"1,150,000 EGP",Madinaty,1150000.0
Fiat,128,Blue,1978.0,gas,0 Km,manual,"26,000 EGP",Zagazig,26000.0
Chevrolet,Optra,Bronze,2018.0,gas,"250,000 Km",automatic,"310,000 EGP",Sheikh Zayed City,310000.0
Hyundai,Verna,Light grey,2016.0,gas,"170,000 Km",automatic,"250,000 EGP",Maadi,250000.0
Toyota,Corolla,Black,2020.0,gas,"34,000 Km",automatic,"780,000 EGP",Imbaba,780000.0
Fiat,Shahin,White,2002.0,gas,0 Km,manual,"85,000 EGP",Beni Suef,85000.0
Nissan,Juke,Petroleum,2012.0,gas,"157,000 Km",automatic,"450,000 EGP",Nasr city,450000.0
Seat,Ateca,Dark blue,2021.0,gas,"38,000 Km",automatic,"1,400,000 EGP",Tagamo3 - New Cairo,1400000.0
Volkswagen,Turan,Silver,2009.0,gas,"275,000 Km",automatic,"385,000 EGP",Cairo,385000.0
Renault,Fluence,White,2015.0,gas,"91,000 Km",automatic,"415,000 EGP",Suez,415000.0
Fiat,Tipo,Light grey,2021.0,gas,"150,000 Km",automatic,"500,000 EGP",Mokattam,500000.0
Daewoo,Lanos,Dark red,2000.0,gas,"35,000 Km",manual,"110,000 EGP",Beni Suef,110000.0
Skoda,Roomster,Silver,2014.0,gas,"145,000 Km",automatic,"350,000 EGP",Sheikh Zayed City,350000.0
Opel,Astra,Dark blue,2008.0,gas,"163,000 Km",automatic,"280,000 EGP",Cairo,280000.0
Toyota,Corolla,Silver,2020.0,gas,"35,500 Km",automatic,"770,000 EGP",Tanta,770000.0
Toyota,Corolla,Silver,2007.0,gas,"217,850 Km",automatic,"320,000 EGP",El Mahalla,320000.0
Chevrolet,T-Series,White,2022.0,diesel,55 Km,manual,"580,000 EGP",Kafr el-Sheikh,580000.0
Jeep,Grand Cherokee,Gray,2019.0,gas,"62,000 Km",automatic,"2,150,000 EGP",Mohandessin,2150000.0
Skoda,Fabia,Silver,2004.0,gas,"270,000 Km",manual,"140,000 EGP",Kafr el-Sheikh,140000.0
Peugeot,405,Red,1998.0,gas,1 Km,manual,"105,000 EGP",Kafr Shukr,105000.0
Toyota,Corolla,White,1984.0,gas,"180,000 Km",manual,"75,000 EGP",Mansoura,75000.0
